,lfd#,serial#,shoporder,messdaten,bin,bin_sum,bin_dif
0,#72,31461363,5000692655,0.2125,1,1.1051000000000002,0.010800000000000004
1,#108,31461435,5000692655,0.2232,1,1.1051000000000002,0.010800000000000004
2,#95,31461422,5000692655,0.2233,1,1.1051000000000002,0.010800000000000004
3,#38,31461469,5000674903,0.2233,1,1.1051000000000002,0.010800000000000004
4,#138,31461465,5000692655,0.2228,1,1.1051000000000002,0.010800000000000004
5,#62,31461693,5000674903,0.2461,2,1.1869999999999998,0.011100000000000027
6,#100,31461427,5000692655,0.235,2,1.1869999999999998,0.011100000000000027
7,#136,31461463,5000692655,0.2353,2,1.1869999999999998,0.011100000000000027
8,#88,31461415,5000692655,0.235,2,1.1869999999999998,0.011100000000000027
9,#92,31461419,5000692655,0.2356,2,1.1869999999999998,0.011100000000000027
10,#51,31461682,5000674903,0.2128,3,1.1058,0.010599999999999998
11,#42,31461473,5000674903,0.2234,3,1.1058,0.010599999999999998
12,#41,31461472,5000674903,0.2234,3,1.1058,0.010599999999999998
13,#58,31461689,5000674903,0.2228,3,1.1058,0.010599999999999998
14,#57,31461688,5000674903,0.2234,3,1.1058,0.010599999999999998
15,#123,31461450,5000692655,0.2456,4,1.1868,0.01090000000000002
16,#13,31461378,5000674903,0.2349,4,1.1868,0.01090000000000002
17,#117,31461444,5000692655,0.2354,4,1.1868,0.01090000000000002
18,#29,31461406,5000674903,0.2347,4,1.1868,0.01090000000000002
19,#3,31461367,5000674903,0.2362,4,1.1868,0.01090000000000002
20,#82,31461397,5000692655,0.2128,5,1.1066,0.011099999999999999
21,#39,31461470,5000674903,0.2235,5,1.1066,0.011099999999999999
22,#53,31461684,5000674903,0.2238,5,1.1066,0.011099999999999999
23,#12,31461376,5000674903,0.2226,5,1.1066,0.011099999999999999
24,#83,31461398,5000692655,0.2239,5,1.1066,0.011099999999999999
25,#127,31461454,5000692655,0.2452,6,1.1866,0.010599999999999998
26,#56,31461687,5000674903,0.2347,6,1.1866,0.010599999999999998
27,#44,31461475,5000674903,0.2356,6,1.1866,0.010599999999999998
