,serial#,messdaten
#1,31448813,0.3484
#2,31448815,0.3466
#3,31448818,0.3422
#4,31448820,0.3457
#5,31448822,0.3374
#6,31448824,0.3461
#7,31448826,0.3445
#8,31448827,0.3403
#9,31448829,0.3412
#10,31448831,0.3550
#11,31448833,0.343
#12,31448835,0.3437
#13,31448855,0.3558
#14,31448856,0.3546
#15,31448857,0.3426
#16,31448858,0.3437
#17,31448860,0.3450
#18,31448862,0.3592
#19,31448864,0.3527
#20,31448865,0.3586
#21,31448866,0.3616
#22,31448868,0.3565
#23,31448870,0.3460
#24,31448871,0.3512
#25,31448819,0.3539
#26,31448842,0.3620
#27,31448843,0.3629
#28,31448844,0.3560
#29,31448845,0.3506
#30,31448846,0.3461
#31,31448847,0.3589
#32,31448848,0.3522
#33,31448852,0.3501
#34,31448863,0.3529
#35,31448873,0.3618
#36,31448874,0.3536
#37,31448875,0.3407
#38,31448876,0.3502
#39,31448877,0.3531
#40,31448878,0.3609
#41,31448885,0.3652
#42,31448886,0.3550
#43,31448887,0.3510
#44,31448888,0.3536
#45,31448889,0.3559
#46,31448890,0.3532
#47,31448903,0.3680
#48,31448904,0.3627
#49,31448905,0.3522
#50,31448906,0.3509
#51,31448907,0.3598
#52,31448908,0.3531
#53,31448909,0.3605
#54,31448910,0.3547
#55,31448911,0.3445
#56,31448912,0.3466
#57,31448814,0.3516
#58,31448816,0.3394
#59,31448817,0.3542
#60,31448821,0.3467
#61,31448823,0.3506
#62,31448825,0.3502
#63,31448828,0.3402
#64,31448830,0.3511
#65,31448832,0.3486
#66,31448834,0.3371
#67,31448836,0.3526
#68,31448837,0.3619
#69,31448838,0.3629
#70,31448839,0.3522
#71,31448840,0.3485
#72,31448841,0.3550
#73,31448849,0.3611
#74,31448850,0.3592
#75,31448851,0.3520
#76,31448853,0.3555
#77,31448854,0.3539
#78,31448859,0.3529
#79,31448861,0.3634
#80,31448867,0.3580
#81,31448869,0.3479
#82,31448872,0.3556
#83,31448879,0.3636
#84,31448880,0.3583
#85,31448881,0.3532
#86,31448882,0.3493
#87,31448883,0.3606
#88,31448884,0.3527
#89,31448891,0.3599
#90,31448892,0.3517
#91,31448893,0.3463
#92,31448894,0.3445
#93,31448895,0.3508
#94,31448896,0.3476
#95,31465063,0.3570
#96,31465064,0.3425
#97,31465065,0.3373
#98,31465066,0.3400
#99,31465067,0.3480
#100,31465068,0.3429
