lfd#,serial#,shoporder,messdaten
#72,31461363,5000692655,0.2125
#51,31461682,5000674903,0.2128
#82,31461397,5000692655,0.2128
#74,31461365,5000692655,0.2143
#10,31461374,5000674903,0.2158
#71,31461362,5000692655,0.2159
#40,31461471,5000674903,0.2161
#73,31461364,5000692655,0.2179
#16,31461381,5000674903,0.2199
#52,31461683,5000674903,0.2201
#23,31461388,5000674903,0.2203
#28,31461405,5000674903,0.2204
#9,31461373,5000674903,0.2206
#21,31461386,5000674903,0.2208
#1,31461377,5000674903,0.2209
#119,31461446,5000692655,0.2217
#106,31461433,5000692655,0.2218
#84,31461399,5000692655,0.2218
#12,31461376,5000674903,0.2226
#138,31461465,5000692655,0.2228
#58,31461689,5000674903,0.2228
#108,31461435,5000692655,0.2232
#95,31461422,5000692655,0.2233
#38,31461469,5000674903,0.2233
#42,31461473,5000674903,0.2234
#41,31461472,5000674903,0.2234
#57,31461688,5000674903,0.2234
#39,31461470,5000674903,0.2235
#53,31461684,5000674903,0.2238
#83,31461398,5000692655,0.2239
#60,31461691,5000674903,0.2244
#54,31461685,5000674903,0.2245
#90,31461417,5000692655,0.2248
#101,31461428,5000692655,0.2252
#105,31461432,5000692655,0.2253
#97,31461424,5000692655,0.2255
#133,31461460,5000692655,0.2257
#35,31461412,5000674903,0.2257
#78,31461393,5000692655,0.2265
#59,31461690,5000674903,0.2266
#98,31461425,5000692655,0.2273
#22,31461387,5000674903,0.2274
#126,31461453,5000692655,0.2277
#55,31461686,5000674903,0.2281
#33,31461410,5000674903,0.2281
#5,31461369,5000674903,0.2282
#37,31461468,5000674903,0.2282
#122, 31461449,5000692655,0.2283
#20,31461385,5000674903,0.2283
#34,31461411,5000674903,0.2283
#24,31461389,5000674903,0.2284
#118,31461445,5000692655,0.2285
#130,31461457,5000692655,0.2286
#50,31461681,5000674903,0.2290
#15,31461380,5000674903,0.2292
#134,31461461,5000692655,0.2297
#124,31461451,5000692655,0.2300
#129,31461456,5000692655,0.2302
#85,31461400,5000692655,0.2304
#14,31461379,5000674903,0.2305
#8,31461372,5000674903,0.2306
#18,31461383,5000674903,0.2308
#110,31461437,5000692655,0.2309
#36,31461413,5000674903,0.2310
#46,31461477,5000674903,0.2310
#93,31461420,5000692655,0.2311
#77,31461392,5000692655,0.2313
#107,31461434,5000692655,0.2316
#81,31461396,5000692655,0.2319
#19,31461384,5000674903,0.2319
#91,31461418,5000692655,0.2320
#17,31461382,5000674903,0.2321
#125,31461452,5000692655,0.2323
#32,31461409,5000674903,0.2325
#137,31461464,5000692655,0.2325
#104,31461431,5000692655,0.2325
#30,31461407,5000674903,0.2326
#89,31461416,5000692655,0.2334
#64,31461695,5000674903,0.2335
#86,31461401,5000692655,0.2335
#109,31461436,5000692655,0.2337
#31,31461408,5000674903,0.2342
#7,31461371,5000674903,0.2343
#80,31461395,5000692655,0.2345
#68,31461700,5000674903,0.2345
#26,31461403,5000674903,0.2346
#56,31461687,5000674903,0.2347
#29,31461406,5000674903,0.2347
#13,31461378,5000674903,0.2349
#88,31461415,5000692655,0.2350
#100,31461427,5000692655,0.2350
#136,31461463,5000692655,0.2353
#117,31461444,5000692655,0.2354
#92,31461419,5000692655,0.2356
#44,31461475,5000674903,0.2356
#76,31461391,5000692655,0.2358
#6,31461370,5000674903,0.2359
#2,31461366,5000674903,0.2361
#3,31461367,5000674903,0.2362
#116,31461443,5000692655,0.2365
#4,31461368,5000674903,0.2369
#112,31461439,5000692655,0.2369
#99,31461426,5000692655,0.2371
#63,31461694,5000674903,0.2376
#27,31461404,5000674903,0.2378
#47,31461478,5000674903,0.2378
#49,31461680,5000674903,0.2381
#67,31461699,5000674903,0.2389
#135,31461462,5000692655,0.2397
#111,31461438,5000692655,0.2397
#66,31461697,5000674903,0.2400
#103,31461430,5000692655,0.2400
#128,31461455,5000692655,0.2401
#115,31461442,5000692655,0.2402
#75,31461390,5000692655,0.2406
#45,31461476,5000674903,0.2414
#48,31461479,5000674903,0.2421
#25,31461402,5000674903,0.2426
#87,31461414,5000692655,0.2435
#43,31461474,5000674903,0.2439
#65,31461696,5000674903,0.2446
#61,31461692,5000674903,0.2451
#127,31461454,5000692655,0.2452
#123,31461450,5000692655,0.2456
#62,31461693,5000674903,0.2461
